Time_min,D50_micron
802.5,61.6499
807.5,58.9345
812.5,62.4099
817.5,58.9301
822.5,62.508
827.5,58.7612
832.5,61.2029
837.5,60.8681
842.5,60.5448
847.5,59.8805
852.5,60.1384
857.5,58.5763
862.5,58.6507
867.5,61.7257
872.5,58.274
877.5,56.1441
882.5,61.0696
887.5,59.4738
892.5,59.0675
897.5,60.8622
902.5,57.5713
907.5,57.5063
912.5,58.9623
917.5,59.9449
922.5,57.9585
927.5,58.8303
932.5,59.2268
937.5,60.0296
942.5,58.4608
947.5,59.6234
952.5,60.6345
957.5,58.5103
962.5,60.1486
967.5,59.2048
972.5,57.8718
977.5,58.424
982.5,57.61
987.5,55.4792
992.5,57.8151
997.5,59.1173
1002.5,58.5095
1007.5,59.3192
1012.5,60.2683
1017.5,59.3908
1022.5,56.8883
1027.5,59.4175
1032.5,59.7823
1037.5,58.8554
1042.5,57.3835
1047.5,59.5289
1052.5,59.4186
1057.5,57.8036
1062.5,57.2584
1067.5,59.6793
1072.5,58.936
1077.5,59.0323
1082.5,59.328
1087.5,59.133
1092.5,56.7214
1097.5,58.8905
1102.5,57.3695
1107.5,57.1169
1112.5,59.97
1117.5,59.3068
1122.5,58.4403
1127.5,59.7887
1132.5,57.4966
1137.5,58.8736
1142.5,61.0077
1147.5,57.123
1152.5,59.2949
1157.5,58.2138
1162.5,56.6158
1167.5,58.8934
1172.5,60.0643
1177.5,56.8073
1182.5,59.2925
1187.5,57.5249
1192.5,57.894
1197.5,56.321
1442.5,58.5077
1447.5,59.3545
1452.5,56.7792
1457.5,58.3281
1462.5,58.6689
1467.5,58.9879
1472.5,57.9942
1477.5,57.3152
1482.5,58.2832
1487.5,56.689
1492.5,59.3504
1497.5,55.3084
1502.5,57.7826
1507.5,57.6522
1512.5,59.3755
1517.5,56.3798
1522.5,56.3431
1527.5,56.7898
1532.5,57.3937
1537.5,57.1861
1542.5,58.4429
1547.5,58.3531
1552.5,56.3398
1557.5,55.5748
1562.5,59.5519
1567.5,56.2531
1572.5,56.3924
1577.5,59.1259
1582.5,57.2909
1587.5,58.049
1592.5,59.0901
1597.5,58.5048
1602.5,57.6869
1607.5,58.547
1612.5,60.175
1617.5,57.0327
1772.5,61.8438
1777.5,56.8051
1782.5,58.7883
1787.5,59.3664
1792.5,59.8087
1797.5,59.6767
1802.5,57.9196
1807.5,61.3796
1812.5,58.4249
1817.5,61.4628
1822.5,57.6258
1827.5,58.2379
1832.5,57.2384
1837.5,55.9118
1842.5,58.1505
1847.5,58.7035
1852.5,59.4949
1857.5,58.7103
1862.5,58.5059
1867.5,57.5924
1872.5,59.0244
1877.5,58.0897
1882.5,57.235
1887.5,58.0209
1892.5,59.1521
1897.5,59.0045
1902.5,59.6899
1907.5,58.6286
1912.5,58.5895
1917.5,60.9476
1922.5,58.0022
1927.5,58.3496
1932.5,60.134
1937.5,57.9157
1942.5,58.2386
1947.5,57.0386
1952.5,58.259
1957.5,59.1668
1962.5,58.2067
1967.5,60.0728
1972.5,59.6531
1977.5,58.7354
1982.5,62.0914
1987.5,57.6003
1992.5,57.7848
1997.5,58.2402
2002.5,58.7645
2007.5,58.6351
2012.5,58.159
2017.5,59.193
2022.5,57.9874
2027.5,59.1606
2032.5,57.9947
2037.5,57.1282
2042.5,58.0976
2047.5,57.5234
2052.5,60.3574
2057.5,58.4638
2062.5,59.8467
2067.5,59.7339
2072.5,59.8132
2077.5,58.4138
2082.5,59.2124
2087.5,56.9203
2092.5,58.8297
2097.5,58.2958
2102.5,59.51
2107.5,59.3826
2112.5,58.794
2117.5,58.0978
2122.5,57.6968
2127.5,59.6056
2132.5,60.2806
2137.5,58.875
2142.5,57.6433
2147.5,59.1944
2152.5,60.1112
2157.5,57.8106
2162.5,57.111
2167.5,60.1152
2172.5,61.0395
2177.5,61.3317
2182.5,62.7839
2187.5,59.5772
2192.5,59.4079
2197.5,60.2052
2202.5,60.6815
2207.5,60.9726
2212.5,61.2332
2217.5,61.166
2222.5,62.9529
2227.5,61.7359
2232.5,59.5048
2237.5,61.3943
2242.5,60.6101
2247.5,61.21
2252.5,60.9621
2257.5,62.4497
2262.5,60.3966
2267.5,60.6243
2272.5,61.3651
2277.5,65.0128
2282.5,62.5553
2287.5,62.3664
2292.5,61.2882
2297.5,61.8778
2302.5,62.5727
2307.5,62.4838
2312.5,61.5055
2317.5,62.174
2322.5,62.0744
2327.5,61.0972
2332.5,63.212
2337.5,59.9883
2342.5,59.692
2347.5,62.1741
2352.5,60.062
2357.5,60.6701
2362.5,60.2101
2367.5,63.5876
2372.5,58.823
2377.5,61.6685
2382.5,62.7116
2387.5,60.1251
2392.5,59.6658
2397.5,61.0378
2402.5,60.7551
2407.5,59.2946
2412.5,60.5826
2417.5,61.2572
2422.5,58.083
2427.5,59.4025
2432.5,60.9245
2437.5,58.9749
2442.5,58.3786
2447.5,56.9543
2452.5,60.3859
2457.5,64.1051
2462.5,61.1527
2467.5,59.948
2472.5,57.4351
2477.5,61.2405
2482.5,61.3522
2487.5,58.8964
